Period,Specialty,Procedure,Provider,Zone,Facility,Year,Quarter,Consult_Median,Consult_90th,Surgery_Median,Surgery_90th
12month_rolling,Orthopaedic,All,"Gauthier, Luke Edward",,,,,183,"1,186",64,305
2023_q2,,Hernia Repair  (Adult),,Zone 3,Inverness Consolidated Memorial,2023,2,,,58,169
2024_q1,,Carpal Tunnel Surgery,,Zone 3,St. Martha's Regional,2024,1,35,84,69,164
12month_rolling,Urology,Prostate Surgery,"Miller, M Dale",,,,,26,125,57,294
12month_rolling,General Surgery,Hernia Repair - Incisional,"Minor, Samuel",,,,,356,764,133,243
2024_q4,,Knee Replacement,,Zone 4,Dartmouth General,2024,4,596,722,182,367
2023_q3,,Hip Replacement,,Zone 4,QE2,2023,3,103,392,270,463
2024_q3,,Head and Neck Surgery,,Total,Provincial,2024,3,21,105,37,216
2024_q2,,Ear Tubes  (Pediatric),,Zone 3,Cape Breton Regional,2024,2,38,62,29,129
2024_q2,,Coronary Artery Bypass Graft,,Total,Provincial,2024,2,,,9,75
2025_q1,,Hernia Repair - Inguinal/Femoral,,IWK,IWK,2025,1,,,46,141
2024_q4,,Cataract Surgery,,Zone 3,Cape Breton Regional,2024,4,47,174,48,79
12month_rolling,Obstetrics/Gynaecology,Endometrial Ablation,"Okuboyejo, Fazil",,,,,64,320,44,115
2023_q1,,Dental Extractions and Restorations  (Pediatric),,Zone 1,South Shore Regional,2023,1,,,112,258
2024_q3,,AV Fistula Creation/Closure,,Total,Provincial,2024,3,,,20,48
2023_q2,,Tear Duct Surgery,,Total,Provincial,2023,2,199,320,,
12month_rolling,Obstetrics/Gynaecology,Hysteroscopy,"Clague, Nicholas Paul",,,,,42,58,64,151
2023_q2,,Oculo Plastic Surgery,,Zone 4,QE2,2023,2,70,460,47,370
2024_q4,,Dental Extractions and Restorations  (Adult),,Zone 1,South Shore Regional,2024,4,59,254,62,158
2023_q2,,Knee Replacement,,Zone 4,Dartmouth General,2023,2,137,636,263,549
12month_rolling,General Surgery,Gastrointestinal Tract Surgery,"Giacomantonio, Carman Anthony",,,,,,,101,379
2025_q1,,Prostate Surgery,,Zone 1,Yarmouth Regional,2025,1,,,82,165
2023_q2,,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),,Zone 3,Cape Breton Regional,2023,2,102,132,,
2024_q2,,Melanoma Excision,,Total,Provincial,2024,2,17,55,21,48
2024_q1,,Glaucoma (Eye Pressure Lowering Surgery),,Total,Provincial,2024,1,31,219,22,74
12month_rolling,Orthopaedic,Shoulder Surgery,"Wong, Ivan",,,,,328,399,218,323
2024_q1,,Knee Replacement,,Zone 1,Valley Regional,2024,1,422,579,348,610
2024_q2,,Cervical Spine (Neck) Surgery,,Total,Provincial,2024,2,59,365,73,183
2024_q4,,Lung Surgery,,Zone 4,QE2,2024,4,22,56,24,62
12month_rolling,Orthopaedic,Knee Replacement Revision,"O'Brien, David A",,,,,495,694,53,90
2023_q3,,Cardiac Valve Replacement,,Zone 4,QE2,2023,3,,,42,106
2023_q2,,Orthopaedic Trauma,,Total,Provincial,2023,2,7,106,7,177
2024_q1,,Prostatectomy,,Zone 4,QE2,2024,1,26,43,105,242
2023_q1,,Shoulder Arthroscopy,,Zone 1,South Shore Regional,2023,1,53,281,135,336
2024_q4,,Foot - Arthrodesis,,Zone 4,QE2,2024,4,485,650,123,218
2024_q2,,Thyroid or Parathyroid Surgery,,Total,Provincial,2024,2,48,138,77,473
2023_q2,,Breast Cancer Surgery,,Zone 3,St. Martha's Regional,2023,2,13,34,27,35
12month_rolling,Orthopaedic,Tendon / Ligament Repair,"Gauthier, Luke Edward",,,,,123,"1,322",107,321
2024_q4,,Male Reproductive System Surgery,,Zone 4,Hants Community Hospital,2024,4,87,282,86,647
2023_q1,,Dental Extractions and Restorations  (Pediatric),,Zone 3,Glace Bay,2023,1,,,181,578
12month_rolling,Dental,Dental Extractions and Restorations  (Adult),"Shaw, Evan",,,,,,,309,"1,126"
2023_q4,,Cardiovascular Surgery,,Zone 4,QE2,2023,4,,,8,60
2024_q3,,Hysterectomy  (Cancer Not Suspected),,Zone 1,Valley Regional,2024,3,116,423,213,403
2025_q1,,Bladder Cancer Surgery,,Zone 2,Colchester East Hants Health Centre,2025,1,28,71,36,66
2023_q3,,Prostate Surgery,,Zone 1,Valley Regional,2023,3,29,36,108,336
12month_rolling,Otolaryngology (ENT),Tonsillectomy and/or Adenoidectomy  (Pediatric),"Wasl, Hisham Ali",,,,,49,106,333,427
2024_q4,,Thyroid or Parathyroid Surgery,,Zone 4,QE2,2024,4,58,246,75,699
2023_q3,,Male Circumcision  (Pediatric),,Total,Provincial,2023,3,,,171,781
2023_q3,,Pacemaker Insertion,,Total,Provincial,2023,3,9,12,22,64
2023_q2,,Bladder Cancer Surgery,,Zone 1,Valley Regional,2023,2,10,35,33,95
2025_q1,,Esophagectomy / Esophageal Surgery,,Zone 4,QE2,2025,1,,,27,73
2023_q2,,Knee Replacement - Partial,,Zone 4,QE2,2023,2,381,420,365,531
2024_q4,,Bowel Resection - Laparoscopic,,Zone 4,QE2,2024,4,24,64,35,303
2024_q1,,Hernia Repair  (Adult),,Zone 3,Inverness Consolidated Memorial,2024,1,,,52,380
12month_rolling,,Hysteroscopy,,IWK,IWK,2025,1,54,415,65,166
2023_q1,,Salivary Gland Surgery,,Total,Provincial,2023,1,,,46,105
2024_q3,,Bladder Cancer Surgery,,Zone 3,Cape Breton Regional,2024,3,24,112,34,146
2023_q2,,Bowel Resection,,Total,Provincial,2023,2,17,120,34,142
2023_q1,,Hysterectomy  (Cancer Not Suspected),,Zone 4,Dartmouth General,2023,1,54,213,129,235
12month_rolling,General Surgery,Colorectal Cancer Surgery,"Faryniuk, Andrea Marie",,,,,29,126,27,33
2024_q2,,Thoroscopy / Pleuroscopy,,Zone 4,QE2,2024,2,,,11,23
3month_rolling,,Back Surgery  (Adult),,Total,Provincial,2025,1,120,906,96,262
12month_rolling,Obstetrics/Gynaecology,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),"Stone, Heather",,,,,30,180,95,191
2023_q2,,Knee Replacement Revision,,Total,Provincial,2023,2,145,687,110,302
2024_q3,,Bladder Cancer Surgery,,Zone 4,QE2,2024,3,21,127,42,82
12month_rolling,,Surgery for Hearing or Balance Problems of the Ear,,Zone 4,QE2,2025,1,136,511,169,"1,213"
2023_q4,,Female Incontinence Surgery,,Zone 4,QE2,2023,4,,,75,177
2024_q2,,Male Reproductive System Surgery,,Zone 1,Valley Regional,2024,2,,,116,632
2023_q2,,Thyroid or Parathyroid Surgery,,Zone 4,QE2,2023,2,43,108,127,379
2024_q1,,Cataract Surgery,,Zone 1,South Shore Regional,2024,1,129,176,194,366
12month_rolling,,Bowel Resection - Laparoscopic,,Total,Provincial,2025,1,20,127,33,108
12month_rolling,General Surgery,Breast Cancer Surgery,"Drohan, Ashley",,,,,16,29,21,43
2023_q2,,Bowel Resection - Laparoscopic,,Zone 4,QE2,2023,2,33,140,34,309
12month_rolling,,Peritoneal Lavage or Catherization,,Zone 4,QE2,2025,1,21,38,16,38
2023_q3,,Prostate Surgery,,Zone 3,Cape Breton Regional,2023,3,66,203,103,534
2024_q4,,Surgery for Hearing or Balance Problems of the Ear,,Zone 4,QE2,2024,4,245,563,133,"1,213"
12month_rolling,Ophthalmology,All,"Mann, Colin",,,,,138,204,134,429
12month_rolling,Orthopaedic,Foot - Arthrodesis,"Glazebrook, Mark A",,,,,544,685,125,218
2024_q4,,Shoulder Arthroscopy,,Zone 4,Dartmouth General,2024,4,56,85,49,407
2025_q1,,Prostate Surgery,,Zone 3,Northside General,2025,1,,,54,83
2024_q1,,Kidney Removal,,Zone 1,Valley Regional,2024,1,,,48,70
12month_rolling,Obstetrics/Gynaecology,Hysterectomy  (Cancer Suspected or Proven),"Scott, Stephanie",,,,,13,35,30,61
2023_q3,,Bowel Resection - Open,,Total,Provincial,2023,3,19,63,27,120
2023_q2,,Hernia Repair - Umbilical,,Zone 1,Valley Regional,2023,2,67,177,49,124
2024_q3,,Hernia Repair - Laparoscopic Umbilical,,Total,Provincial,2024,3,100,442,81,83
12month_rolling,Cardiac Surgery,Congenital Heart Surgery,"Horne, David",,,,,,,30,104
12month_rolling,,Hysteroscopy,,Zone 2,Aberdeen Hospital,2025,1,34,175,45,129
2023_q4,,Bowel Resection,,Zone 1,South Shore Regional,2023,4,43,179,25,93
3month_rolling,,Hernia Repair  (Adult),,Zone 4,Hants Community Hospital,2025,1,188,494,87,165
2024_q2,,Head and Neck Surgery,,Zone 4,QE2,2024,2,26,270,23,42
2023_q2,,Prostate Surgery,,Zone 2,Colchester East Hants Health Centre,2023,2,,,284,617
2024_q2,,Hysterectomy  (Cancer Not Suspected),,Zone 4,QE2,2024,2,14,37,29,48
2024_q3,,Gastric Surgery - Laparoscopic,,Total,Provincial,2024,3,102,706,105,387
2024_q1,,Kidney Removal,,Zone 4,QE2,2024,1,16,38,65,145
12month_rolling,Obstetrics/Gynaecology,Hysterectomy  (Cancer Suspected or Proven),"Bentley, James R",,,,,14,28,24,49
2023_q4,,Cystoscopy,,Zone 3,Cape Breton Regional,2023,4,22,123,25,169
2024_q4,,Palmar Fascia Excision for Dupuytren's Disease,,Total,Provincial,2024,4,86,751,94,299
12month_rolling,Urology,Male Incontinence Surgery,"Bailly, Greg G",,,,,85,97,96,164
2024_q1,,Male Reproductive System Surgery,,Zone 4,QE2,2024,1,65,302,87,178
12month_rolling,,Gastric Surgery - Laparoscopic,,Zone 4,QE2,2025,1,63,332,89,583
2024_q4,,Amputations,,Total,Provincial,2024,4,24,111,14,61
2023_q3,,Hernia Repair - Ventral,,Total,Provincial,2023,3,75,332,70,442
3month_rolling,,Carpal Tunnel Surgery,,Zone 3,St. Martha's Regional,2025,1,110,137,225,381
2024_q4,,Strabismus Surgery  (Adult),,Total,Provincial,2024,4,487,"1,114",130,246
12month_rolling,Urology,Male Reproductive System Surgery,"Butler, Trevor",,,,,,,141,225
12month_rolling,,Gastrointestinal Tract Surgery,,Zone 3,Cape Breton Regional,2025,1,18,49,30,180
2024_q1,,Bladder Cancer Surgery,,Zone 4,Dartmouth General,2024,1,25,65,56,590
12month_rolling,Orthopaedic,All,"O'Neill, Michelle E",,,,,170,258,96,144
2023_q4,,Nissen Fundoplication - Laparoscopic,,Total,Provincial,2023,4,99,645,107,402
2025_q1,,Cataract Surgery,,Zone 1,Soldiers Memorial,2025,1,33,208,50,99
2024_q3,,Functional Endoscopic Sinus Surgery (FESS),,Zone 1,Valley Regional,2024,3,,,144,203
2023_q2,,Palmar Fascia Excision for Dupuytren's Disease,,Zone 3,St. Martha's Regional,2023,2,20,34,,
2023_q4,,Hysterectomy  (Cancer Not Suspected),,Zone 1,South Shore Regional,2023,4,,,38,68
12month_rolling,Urology,All,"Lantz, Andrea",,,,,49,101,55,119
2025_q1,,Septoplasty,,Zone 2,Cumberland Regional,2025,1,,,89,158
12month_rolling,,Pilonidal Cyst Surgery,,Total,Provincial,2025,1,59,358,82,323
12month_rolling,Obstetrics/Gynaecology,All,"Pierce, Marianne",,,,,70,667,105,355
12month_rolling,Otolaryngology (ENT),All,"Piccott, Devin",,,,,69,226,115,311
12month_rolling,General Surgery,All,"Wasserman, Lukas",,,,,39,144,139,398
12month_rolling,General Surgery,Bowel Resection,"Joy, Edward",,,,,27,192,29,61
2024_q1,,Coronary Artery Bypass Graft,,Zone 4,QE2,2024,1,,,6,35
2023_q2,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,Zone 1,South Shore Regional,2023,2,109,114,30,123
3month_rolling,,Cataract Surgery,,Zone 3,Cape Breton Regional,2025,1,46,134,49,97
2023_q4,,Colorectal Cancer Surgery,,Zone 3,Cape Breton Regional,2023,4,15,36,20,54
2024_q2,,Oculo Plastic Surgery,,Zone 4,QE2,2024,2,39,237,21,246
2023_q4,,Tonsillectomy and/or Adenoidectomy  (Adult),,Zone 4,Dartmouth General,2023,4,,,91,241
2023_q3,,Breast Cancer Surgery,,Zone 1,South Shore Regional,2023,3,9,20,20,30
12month_rolling,,Hernia Repair - Inguinal/Femoral,,Zone 3,St. Martha's Regional,2025,1,47,104,153,307
12month_rolling,,Shoulder Arthroplasty,,Total,Provincial,2025,1,97,430,191,439
2025_q1,,Gallbladder Surgery,,Zone 4,Hants Community Hospital,2025,1,68,109,43,178
12month_rolling,,Hernia Repair - Ventral,,Zone 2,Cumberland Regional,2025,1,61,77,82,125
2024_q3,,Septoplasty,,Zone 3,Cape Breton Regional,2024,3,64,116,338,464
2024_q4,,Septoplasty,,Zone 1,Valley Regional,2024,4,171,626,214,334
12month_rolling,Plastic Surgery,Breast Reduction Surgery,"Nel, Corne",,,,,141,303,366,523
2024_q4,,Hernia Repair - Inguinal/Femoral,,Zone 3,St. Martha's Regional,2024,4,37,189,153,233
12month_rolling,General Surgery,Hernia Repair - Umbilical,"de Boer, Krista",,,,,63,70,74,244
2023_q2,,Dental Extractions and Restorations  (Pediatric),,Zone 3,Inverness Consolidated Memorial,2023,2,96,302,59,366
12month_rolling,Urology,Prostate Surgery,"Duplisea, Jonathan",,,,,55,201,74,265
2024_q3,,Gallbladder Surgery,,Zone 2,Aberdeen Hospital,2024,3,54,275,24,82
2023_q1,,Sinus Surgery,,Total,Provincial,2023,1,7,259,120,351
2024_q4,,Cardiovascular Surgery,,Zone 4,QE2,2024,4,,,68,136
2024_q1,,Lymph Node Biopsy,,Total,Provincial,2024,1,14,28,21,43
2024_q1,,Hernia Repair  (Adult),,Zone 4,Hants Community Hospital,2024,1,178,433,200,363
2023_q1,,Hernia Repair - Inguinal/Femoral,,Zone 2,Aberdeen Hospital,2023,1,56,417,,
2024_q4,,Temperomandibular Joint Surgery (TMJ),,Zone 4,QE2,2024,4,233,912,196,"1,234"
2025_q1,,Ear Tubes  (Pediatric),,IWK,IWK,2025,1,63,332,76,136
12month_rolling,Plastic Surgery,All,"Wheelock, Margaret",,,,,5,25,155,658
12month_rolling,,Ankle - Arthroplasty,,Total,Provincial,2025,1,430,661,64,103
12month_rolling,,Lacrimal Duct Probing,,Total,Provincial,2025,1,41,175,83,331
2024_q4,,Brain Surgery  (Adult),,Total,Provincial,2024,4,16,112,24,162
2023_q4,,Male Reproductive System Surgery,,IWK,IWK,2023,4,,,158,471
2023_q1,,Esophagectomy / Esophageal Surgery,,Total,Provincial,2023,1,30,127,28,98
2024_q3,,Ear Tubes  (Pediatric),,IWK,IWK,2024,3,138,295,101,171
2023_q2,,Head and Neck Surgery,,Total,Provincial,2023,2,15,54,38,371
2024_q2,,Gastric Surgery - Laparoscopic,,Zone 4,QE2,2024,2,61,332,201,"1,176"
2023_q4,,Hip Replacement Revision,,Zone 4,QE2,2023,4,,,61,139
12month_rolling,,Knee Replacement - Partial,,Zone 4,Dartmouth General,2025,1,490,694,192,360
2024_q2,,Bowel Resection,,Total,Provincial,2024,2,17,74,32,108
2023_q4,,Gastrointestinal Tract Surgery - Laparoscopic,,Zone 3,Cape Breton Regional,2023,4,19,51,22,54
2024_q3,,Functional Endoscopic Sinus Surgery (FESS),,Zone 3,St. Martha's Regional,2024,3,,,82,111
2025_q1,,Shoulder Arthroscopy,,Total,Provincial,2025,1,85,391,91,355
12month_rolling,Urology,Prostate Surgery,"Morris, Heather",,,,,8,37,20,44
12month_rolling,Vascular Surgery,All,"Casey, Patrick J",,,,,22,80,48,138
12month_rolling,,Bowel Resection - Open,,Zone 3,Cape Breton Regional,2025,1,14,41,21,76
2024_q2,,Septoplasty,,Zone 3,St. Martha's Regional,2024,2,212,240,43,68
2024_q3,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,Zone 3,Cape Breton Regional,2024,3,92,146,228,441
12month_rolling,Otolaryngology (ENT),Functional Endoscopic Sinus Surgery (FESS),"Wallace, Timothy D",,,,,91,815,100,180
2024_q1,,Carpal Tunnel Surgery,,Zone 1,South Shore Regional,2024,1,101,260,101,146
2023_q2,,Breast Cancer Surgery,,Zone 2,Aberdeen Hospital,2023,2,11,27,24,52
2023_q3,,Spinal Cord Stimulation Surgery,,Total,Provincial,2023,3,,,117,134
2023_q1,,Maxillofacial Deformity Surgery,,Zone 4,QE2,2023,1,253,414,205,441
12month_rolling,Urology,Cystoscopy,"Paterson, Nicholas",,,,,41,64,97,188
2024_q1,,Ear Tubes  (Adult),,Total,Provincial,2024,1,168,503,40,63
12month_rolling,Urology,Bladder Cancer Surgery,"Butler, Trevor",,,,,2,3,41,140
2023_q3,,Hernia Repair  (Adult),,Zone 4,QE2,2023,3,160,434,138,320
2024_q1,,Oculo Plastic Surgery,,Total,Provincial,2024,1,50,837,64,232
12month_rolling,Plastic Surgery,Tendon / Ligament Repair,"Wheelock, Margaret",,,,,,,143,232
2025_q1,,Gastrointestinal Tract Surgery,,Zone 1,South Shore Regional,2025,1,29,141,41,127
2023_q1,,Bladder Cancer Surgery,,Zone 3,Cape Breton Regional,2023,1,22,112,41,73
2023_q1,,AV Fistula Creation/Closure,,Total,Provincial,2023,1,,,17,43
12month_rolling,General Surgery,Gallbladder Surgery,"Wasserman, Lukas",,,,,41,92,107,258
2023_q2,,Bowel Resection - Laparoscopic,,Zone 1,Valley Regional,2023,2,68,318,41,88
12month_rolling,General Surgery,Bowel Resection - Open,"Spence, Richard",,,,,29,71,34,113
2025_q1,,Hernia Repair - Inguinal/Femoral,,Zone 1,South Shore Regional,2025,1,43,142,43,112
12month_rolling,General Surgery,Carpal Tunnel Surgery,"Stoddart, Todd",,,,,41,56,18,48
2024_q4,,Gastrointestinal Tract Surgery,,Total,Provincial,2024,4,49,217,48,205
2023_q2,,Cardiac Valve Replacement,,Zone 4,QE2,2023,2,,,43,112
2023_q3,,Bladder Surgery,,Zone 3,Cape Breton Regional,2023,3,,,48,87
2024_q2,,Hysterectomy  (Cancer Suspected or Proven),,Total,Provincial,2024,2,14,62,41,99
12month_rolling,Otolaryngology (ENT),Ear Tubes  (Pediatric),"Graham, Elise",,,,,67,332,76,103
12month_rolling,Orthopaedic,Knee Replacement,"Hurley, Richard",,,,,135,339,103,181
2023_q2,,Septoplasty,,Total,Provincial,2023,2,72,385,76,435
12month_rolling,Obstetrics/Gynaecology,Hysteroscopy,"Gilmour, Donna",,,,,33,61,47,84
3month_rolling,,Bladder Cancer Surgery,,Zone 1,Valley Regional,2025,1,47,468,31,121
2023_q1,,Breast Cancer Surgery,,Zone 1,Yarmouth Regional,2023,1,5,13,18,63
12month_rolling,Dental,Dental Extractions and Restorations  (Pediatric),"Downey, Lindsay",,,,,,,89,132
2024_q1,,Hernia Repair - Umbilical,,Zone 2,Colchester East Hants Health Centre,2024,1,43,87,55,284
2023_q1,,Nerve or Brain Stimulation,,Total,Provincial,2023,1,,,52,75
2023_q2,,Melanoma Excision,,Total,Provincial,2023,2,14,29,18,30
2024_q4,,Bladder Cancer Surgery,,Zone 1,South Shore Regional,2024,4,,,28,55
2023_q3,,Cervical Spine (Neck) Surgery,,Zone 4,QE2,2023,3,52,114,48,220
2023_q2,,Pacemaker Insertion,,Total,Provincial,2023,2,8,28,9,49
2023_q2,,Kidney Removal,,Total,Provincial,2023,2,19,39,55,137
12month_rolling,Otolaryngology (ENT),Surgery for Hearing or Balance Problems of the Ear,"Brodarec, Ivan",,,,,114,223,49,126
12month_rolling,Orthopaedic,Hip Replacement,"Hamilton, Christopher",,,,,222,405,74,123
3month_rolling,,Palmar Fascia Excision for Dupuytren's Disease,,Zone 3,St. Martha's Regional,2025,1,188,544,206,248
2023_q4,,Thyroid or Parathyroid Surgery,,Zone 4,Dartmouth General,2023,4,31,84,64,169
2023_q1,,Hysteroscopy,,Zone 2,Colchester East Hants Health Centre,2023,1,21,492,40,103
2023_q1,,Knee Replacement - Partial,,Zone 4,QE2,2023,1,378,391,265,414
12month_rolling,Cardiac Surgery,Cardiovascular Surgery,"Horne, David",,,,,,,61,162
2024_q3,,Male Circumcision  (Adult),,Zone 1,Valley Regional,2024,3,,,135,239
2024_q2,,Laryngology and Vocal Cord Surgery,,Total,Provincial,2024,2,43,195,42,736
12month_rolling,Cardiac Surgery,All,"Wood, Jeremy R",,,,,,,42,136
2024_q1,,Gastrointestinal Tract Surgery,,Zone 2,Aberdeen Hospital,2024,1,,,29,43
2023_q4,,Hysteroscopy,,Zone 1,South Shore Regional,2023,4,21,53,37,64
3month_rolling,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,Zone 1,South Shore Regional,2025,1,370,443,63,149
12month_rolling,Obstetrics/Gynaecology,Hysteroscopy,"Nette, Farrell",,,,,78,"1,079",43,70
3month_rolling,,Prostatectomy,,Zone 1,Valley Regional,2025,1,,,66,76
12month_rolling,Orthopaedic,All,"El-Tahan, Tahmir H.",,,,,88,316,121,291
2024_q4,,Cardiovascular Surgery,,Total,Provincial,2024,4,,,66,136
2024_q1,,Gallbladder Surgery,,Zone 4,QE2,2024,1,27,113,51,176
12month_rolling,General Surgery,All,"Stewart, Riley",,,,,73,589,64,314
12month_rolling,Otolaryngology (ENT),All,"Taylor, S. Mark",,,,,30,415,41,239
2023_q1,,Bladder Cancer Surgery,,Zone 1,Yarmouth Regional,2023,1,,,41,218
2023_q4,,Dental Extractions and Restorations  (Adult),,Total,Provincial,2023,4,97,235,133,534
2025_q1,,Tendon / Ligament Repair,,Zone 4,QE2,2025,1,53,392,64,259
2023_q4,,Prostatectomy,,Zone 4,QE2,2023,4,28,132,149,239
2024_q1,,Knee Replacement Revision,,Total,Provincial,2024,1,124,387,79,438
2023_q2,,Hernia Repair - Inguinal/Femoral,,Zone 2,Colchester East Hants Health Centre,2023,2,68,214,71,531
2023_q3,,Gallbladder Surgery,,Zone 4,QE2,2023,3,49,182,64,131
12month_rolling,Orthopaedic,All,"Morash, Kevin",,,,,118,218,304,712
12month_rolling,Orthopaedic,Hip Replacement,"Biddulph, Michael Paul",,,,,,,92,172
2024_q3,,Shoulder Arthroscopy,,Zone 4,Hants Community Hospital,2024,3,76,105,69,232
12month_rolling,Orthopaedic,Knee Replacement - Partial,"Gillis, Megan",,,,,,,310,432
2024_q1,,Thyroid or Parathyroid Surgery,,Zone 2,Cumberland Regional,2024,1,56,193,42,51
2023_q2,,Thoroscopy / Pleuroscopy,,Zone 4,QE2,2023,2,,,13,23
2024_q2,,Prostate Surgery,,Zone 3,Cape Breton Regional,2024,2,24,70,119,373
2023_q3,,Knee Scope with ACL Repair,,Total,Provincial,2023,3,54,151,75,271
2023_q2,,Shoulder Arthroscopy,,Zone 4,Dartmouth General,2023,2,66,264,118,237
2023_q4,,Bariatric Surgery (for Weight Loss),,Total,Provincial,2023,4,96,149,220,413
12month_rolling,,Hernia Repair - Umbilical,,Zone 1,South Shore Regional,2025,1,53,132,62,164
2025_q1,,Pacemaker Insertion,,Zone 2,Aberdeen Hospital,2025,1,,,52,74
2024_q4,,Dental Extractions and Restorations  (Pediatric),,Zone 3,Glace Bay,2024,4,,,177,242
2023_q4,,Hernia Repair - Inguinal/Femoral,,Zone 2,Cumberland Regional,2023,4,25,90,51,150
2023_q3,,Cystoscopy,,Zone 3,Cape Breton Regional,2023,3,36,123,19,197
2024_q1,,Strabismus Surgery  (Pediatric),,Total,Provincial,2024,1,104,232,140,197
2024_q3,,Bowel Resection,,Zone 1,South Shore Regional,2024,3,22,417,29,57
2024_q2,,Hysterectomy  (Cancer Not Suspected),,Zone 1,Valley Regional,2024,2,386,580,190,370
2024_q2,,Hysterectomy  (Cancer Not Suspected),,Zone 3,Cape Breton Regional,2024,2,71,176,232,414
2024_q2,,Prostate Cancer Surgery,,Zone 4,QE2,2024,2,20,42,172,239
2025_q1,,Shoulder Arthroscopy,,Zone 3,Cape Breton Regional,2025,1,257,438,53,138
12month_rolling,Ophthalmology,All,"Oosthuizen, Pieter",,,,,33,207,44,121
12month_rolling,Urology,Prostatectomy,"Massaro, Peter",,,,,63,100,75,89
2023_q1,,Palmar Fascia Excision for Dupuytren's Disease,,Zone 4,QE2,2023,1,,,203,259
2023_q3,,Peritoneal Lavage or Catherization,,Total,Provincial,2023,3,,,10,24
2023_q1,,Hernia Repair - Inguinal/Femoral,,Zone 4,Hants Community Hospital,2023,1,122,457,57,166
3month_rolling,,Hip Replacement,,Zone 1,Valley Regional,2025,1,148,468,160,454
2023_q3,,Dental Extractions and Restorations  (Adult),,Zone 1,South Shore Regional,2023,3,149,251,77,169
2025_q1,,Video-Assisted Thoracic Surgery,,Total,Provincial,2025,1,27,81,29,58
2024_q4,,Colorectal Cancer Surgery,,Zone 1,South Shore Regional,2024,4,30,196,21,31
2023_q4,,Dental Extractions and Restorations  (Pediatric),,Total,Provincial,2023,4,61,225,140,579
2023_q1,,Hysteroscopy,,IWK,IWK,2023,1,68,283,58,135
2023_q3,,Knee Replacement - Partial,,Total,Provincial,2023,3,260,385,281,700
2023_q2,,Strabismus Surgery  (Adult),,Total,Provincial,2023,2,312,566,183,399
12month_rolling,General Surgery,Hernia Repair  (Adult),"Hossain, Farisa",,,,,22,112,125,244
2023_q2,,Temperomandibular Joint Surgery (TMJ),,Zone 4,QE2,2023,2,346,818,261,574
12month_rolling,Obstetrics/Gynaecology,Hysteroscopy,"McCarthy, Leanne",,,,,55,303,59,170
12month_rolling,,Sacral Nerve Stimulation,,Total,Provincial,2025,1,89,91,134,230
2023_q3,,Hemorrhoidectomy,,Zone 4,Dartmouth General,2023,3,,,128,423
2024_q3,,Bowel Resection,,Zone 4,Dartmouth General,2024,3,21,230,32,73
3month_rolling,,Glaucoma (Eye Pressure Lowering Surgery),,Zone 3,St. Martha's Regional,2025,1,,,8,22
2023_q2,,Septoplasty,,Zone 3,Cape Breton Regional,2023,2,36,355,84,156
2023_q1,,Tendon / Ligament Repair,,IWK,IWK,2023,1,,,284,480
2023_q1,,Bladder Cancer Surgery,,Zone 3,Northside General,2023,1,,,27,49
2024_q3,,Dental Extractions and Restorations  (Adult),,Total,Provincial,2024,3,98,280,127,428
12month_rolling,Otolaryngology (ENT),Thyroid or Parathyroid Surgery,"Piccott, Devin",,,,,10,49,55,100
2024_q2,,Surgery for Hearing or Balance Problems of the Ear,,Zone 4,Dartmouth General,2024,2,66,269,,
2024_q3,,Hernia Repair  (Adult),,Zone 4,QE2,2024,3,74,373,95,320
2025_q1,,Salivary Gland Surgery,,Total,Provincial,2025,1,,,118,333
2023_q3,,Ear Tubes  (Pediatric),,Zone 1,Valley Regional,2023,3,72,120,74,111
3month_rolling,,Knee Scope,,Total,Provincial,2025,1,97,276,81,238
2023_q4,,Temperomandibular Joint Surgery (TMJ),,Total,Provincial,2023,4,414,495,146,524
2023_q4,,Kidney Removal,,Zone 4,QE2,2023,4,18,63,51,105
2024_q2,,Kidney / Upper Urinary Tract,,Zone 4,QE2,2024,2,,,36,126
2024_q2,,Hernia Repair - Incisional,,Zone 1,Valley Regional,2024,2,305,645,87,176
12month_rolling,Orthopaedic,Knee Replacement,"Leighton, Jennifer Laura",,,,,,,150,233
2025_q1,,Bowel Resection - Laparoscopic,,Zone 3,Cape Breton Regional,2025,1,7,55,24,363
12month_rolling,Urology,Kidney Stone Surgery,"Massaro, Peter",,,,,32,218,131,381
2023_q4,,Bladder Cancer Surgery,,Zone 4,QE2,2023,4,17,36,27,64
2024_q3,,Nose Surgery - Reconstructive or Aesthetic,,Zone 4,QE2,2024,3,,,29,56
2024_q3,,Hip Arthroscopy,,Zone 4,Dartmouth General,2024,3,90,104,226,286
2024_q4,,Dental Extractions and Restorations  (Pediatric),,IWK,IWK,2024,4,141,684,146,628
2023_q1,,Bowel Resection,,Zone 4,Dartmouth General,2023,1,20,201,25,127
2023_q4,,Nissen Fundoplication - Laparoscopic,,Zone 4,QE2,2023,4,102,867,107,402
12month_rolling,Otolaryngology (ENT),All,"Morris, David P",,,,,129,334,89,755
